rank	id	title	score	year	genre	imdb
1	tt0112760	Cutthroat Island	5.4	1995	action, adventure, comedy, family, romance	http://www.imdb.com/title/tt0112760/
2	tt0401729	John Carter	6.6	2012	action, adventure, fantasy, sci_fi	http://www.imdb.com/title/tt0401729/
3	tt0318974	The Alamo	5.8	2004	drama, history, war, western	http://www.imdb.com/title/tt0318974/
4	tt0180052	The Adventures of Pluto Nash	3.6	2002	comedy, action, sci_fi	http://www.imdb.com/title/tt0180052/
5	tt0318649	Sahara	5.9	2005	action, adventure, comedy, thriller	http://www.imdb.com/title/tt0318649/
6	tt1305591	Mars Needs Moms	5.2	2011	animation, action, adventure, comedy, family, sci_fi	http://www.imdb.com/title/tt1305591/
7	tt0120657	The 13th Warrior	6.4	1999	action, adventure, fantasy, horror, mystery, thriller	http://www.imdb.com/title/tt0120657/
8	tt0141907	Town & Country	4.3	2001	comedy, romance	http://www.imdb.com/title/tt0141907/
9	tt0811080	Speed Racer	6	2008	action, family, sport	http://www.imdb.com/title/tt0811080/
10	tt0080855	Heaven's Gate	6.5	1980	action, adventure, drama, history, romance, western	http://www.imdb.com/title/tt0080855/
11	tt0382992	Stealth	4.9	2005	action, adventure, sci_fi, thriller	http://www.imdb.com/title/tt0382992/
12	tt1133985	Green Lantern	5.7	2011	action, adventure, sci_fi, thriller	http://www.imdb.com/title/tt1133985/
13	tt0173840	Final Fantasy: The Spirits Within	6.3	2001	animation, action, adventure, fantasy, sci_fi, thriller	http://www.imdb.com/title/tt0173840/
14	tt0058085	The Fall of the Roman Empire	6.7	1964	drama, history, war	http://www.imdb.com/title/tt0058085/
15	tt0134983	Supernova	4.5	2000	horror, sci_fi, thriller	http://www.imdb.com/title/tt0134983/
16	tt0185183	Battlefield Earth	2.4	2000	action, sci_fi	http://www.imdb.com/title/tt0185183/
17	tt0084132	Inchon	2.9	1981	drama, history, war	http://www.imdb.com/title/tt0084132/
18	tt0081400	Raise the Titanic	4.3	1980	action, drama, thriller, adventure	http://www.imdb.com/title/tt0081400/
19	tt0133240	Treasure Planet	6.8	2002	animation, adventure, family, romance, sci_fi	http://www.imdb.com/title/tt0133240/
20	tt0308208	Ballistic: Ecks vs. Sever	3.5	2002	action, thriller	http://www.imdb.com/title/tt0308208/
21	tt0119925	The Postman	5.7	1997	action, adventure, drama, sci_fi	http://www.imdb.com/title/tt0119925/
22	tt0199753	Red Planet	5.5	2000	sci_fi, action, thriller	http://www.imdb.com/title/tt0199753/
23	tt0267626	K-19: The Widowmaker	6.5	2002	drama, history, thriller, war	http://www.imdb.com/title/tt0267626/
24	tt0166276	Monkeybone	4.5	2001	animation, comedy, fantasy	http://www.imdb.com/title/tt0166276/
25	tt0119558	Lolita	6.7	1997	drama, romance	http://www.imdb.com/title/tt0119558/
26	tt0245562	Windtalkers	5.9	2002	action, drama, war	http://www.imdb.com/title/tt0245562/
27	tt0160236	Dudley Do-Right	3.6	1999	comedy, family, romance	http://www.imdb.com/title/tt0160236/
28	tt0131704	The Adventures of Rocky & Bullwinkle	4	2000	animation, adventure, comedy, family, fantasy	http://www.imdb.com/title/tt0131704/
29	tt0120157	Soldier	5.8	1998	action, drama, sci_fi	http://www.imdb.com/title/tt0120157/
30	tt0299930	Gigli	2.4	2003	comedy, crime, romance	http://www.imdb.com/title/tt0299930/
31	tt0327437	Around the World in 80 Days	5.6	2004	action, adventure, comedy, family, romance, western	http://www.imdb.com/title/tt0327437/
32	tt0093278	Ishtar	3.9	1987	adventure, comedy, music	http://www.imdb.com/title/tt0093278/
33	tt0102070	Hudson Hawk	5.5	1991	action, adventure, comedy	http://www.imdb.com/title/tt0102070/
34	tt0120603	Beloved	5.7	1998	drama, horror, mystery	http://www.imdb.com/title/tt0120603/
35	tt0318081	A Sound of Thunder	4.1	2005	action, adventure, sci_fi, thriller	http://www.imdb.com/title/tt0318081/
36	tt0251114	Hart's War	6.2	2002	drama, war	http://www.imdb.com/title/tt0251114/
37	tt0181739	Osmosis Jones	6	2001	animation, action, adventure, comedy, family, fantasy	http://www.imdb.com/title/tt0181739/
38	tt1041804	The Nutcracker in 3D	4.3	2009	action, family, fantasy, musical	http://www.imdb.com/title/tt1041804/
39	tt0457400	Land of the Lost	5.2	2009	adventure, comedy, sci_fi	http://www.imdb.com/title/tt0457400/
40	tt0085811	Krull	5.8	1983	fantasy, action, adventure, sci_fi	http://www.imdb.com/title/tt0085811/
41	tt0138304	The Astronaut's Wife	5.1	1999	drama, sci_fi, thriller	http://www.imdb.com/title/tt0138304/
