position	rank	score	title	year	genre	mpaa	imdb
1		98.60000005	The Memory of Justice (German-U.S.)	1976	Documentary	PG	http://www.imdb.com/title/tt0074891/
2		98.40000041	Berlin Alexanderplatz (German)	1980	Drama	N/A	http://www.imdb.com/title/tt0080196/
3	1	98.2681148	The Godfather, Part II	1974	Crime Drama	R	http://www.imdb.com/title/tt0071562/
4	2	97.8980965	Casablanca	1942	Drama	PG	http://us.imdb.com/title/tt0034583/
5	3	97.89114356	Schindler's List	1993	War Drama	R	http://www.imdb.com/title/tt0108052/
6	4	97.88010461	One Flew Over the Cuckoo's Nest	1975	Comedy-Drama	R	http://us.imdb.com/title/tt0073486/
7	5	97.70215259	The Empire Strikes Back	1980	Science Fiction	PG	http://www.imdb.com/title/tt0080684/
8		97.67409173	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (British)	1964	Comedy	PG	http://www.imdb.com/title/tt0057012/
9	6	97.65806132	Rear Window	1954	Suspense	PG	http://us.imdb.com/title/tt0047396/
10	7	97.64013117	Raiders of the Lost Ark	1981	Adventure	PG	http://us.imdb.com/title/tt0082971/
11		97.60005242	The Seven Samurai (Japanese)	1954	Action	N/A	http://www.imdb.com/title/tt0047478/
12		97.60000105	Sansho the Bailiff (Japanese)	1954	Drama	N/A	http://www.imdb.com/title/tt0047445/
13	8	97.49908467	Citizen Kane	1941	Drama	PG	http://www.imdb.com/title/tt0033467/
14		97.49504511	Lawrence of Arabia (British)	1962	Biography	PG	http://www.imdb.com/title/tt0056172/
15	9	97.4890585	It's a Wonderful Life	1946	Fantasy	N/A	http://www.imdb.com/title/tt0038650/
16	10	97.48802616	Sunset Blvd.	1950	Drama	N/A	http://us.imdb.com/title/tt0043014/
17	11	97.48207708	Psycho	1960	Thriller	R	http://www.imdb.com/title/tt0054215/
18	12	97.46005169	North by Northwest	1959	Suspense	N/A	http://www.imdb.com/title/tt0053125/
19	13	97.40004702	12 Angry Men	1957	Crime Drama	N/A	http://us.imdb.com/title/tt0050083/
20		97.4000014	The Shop on Main Street (Czech)	1965	Drama	N/A	http://www.imdb.com/title/tt0059527/
21	14	97.40000071	The Big Parade (Silent)	1925	War Drama	N/A	http://www.imdb.com/title/tt0015624/
22		97.4000006	The Sorrow and the Pity (Swiss)	1969	Documentary	N/A	http://www.imdb.com/title/tt0066904/
23	15	97.40000022	The Last Command (Silent)	1928	Drama	N/A	http://www.imdb.com/title/tt0019071/
24		97.24302359	The Third Man (British)	1949	Thriller	N/A	http://us.imdb.com/title/tt0041959/
25	16	97.2390425	Vertigo	1958	Mystery	PG	http://www.imdb.com/title/tt0052357/
26	17	97.2240085	City Lights (Silent)	1931	Comedy-Drama	N/A	http://www.imdb.com/title/tt0021749/
27	18	97.21901128	Modern Times (Silent)	1936	Comedy	N/A	http://us.imdb.com/title/tt0027977/
28	19	97.20001889	Paths of Glory	1957	War Drama	N/A	http://us.imdb.com/title/tt0050825/
29		97.20000146	Napoleon (French Silent)	1927	Biography	G	http://www.imdb.com/title/tt0018192/
30		97.2000005	War and Peace (Russian)	1968	Drama	N/A	http://www.imdb.com/title/tt0063794/
31		97.20000042	Shoeshine (Itialian)	1946	Drama	N/A	http://www.imdb.com/title/tt0038913/
32	20	97.09002584	Singin' In The Rain	1952	Musical	G	http://us.imdb.com/title/tt0045152/
33		97.08702804	The Bridge on the River Kwai (British)	1957	War Drama	PG	http://www.imdb.com/title/tt0050212/
34	21	97.08602733	Some Like It Hot	1959	Comedy	PG	http://www.imdb.com/title/tt0053291/
35	22	97.08401646	All About Eve	1950	Drama	N/A	http://www.imdb.com/title/tt0042192/
36	23	97.08102791	Chinatown	1974	Mystery	R	http://us.imdb.com/title/tt0071315/
37	24	97.07702088	The Maltese Falcon	1941	Mystery	N/A	http://us.imdb.com/title/tt0033870/
38	25	97.07602952	Raging Bull	1980	Biography	R	http://us.imdb.com/title/tt0081398/
39	26	97.07101251	Mr. Smith Goes to Washington	1939	Drama	N/A	http://www.imdb.com/title/tt0031679/
40	27	97.07001134	The Treasure of the Sierra Madre	1948	Western	N/A	http://us.imdb.com/title/tt0040897/
41	28	97.0630067	The Best Years of Our Lives	1946	Drama	N/A	http://www.imdb.com/title/tt0036868/
42	29	97.06201496	Double Indemnity	1944	Crime Drama	N/A	http://www.imdb.com/title/tt0036775/
43	30	97.00701217	The Apartment	1960	Comedy-Drama	N/A	http://www.imdb.com/title/tt0053604/
44	31	97.00300094	The Wind (Silent)	1928	Drama	N/A	http://www.imdb.com/title/tt0019585/
45		97.00001312	M (German)	1931	Crime Drama	N/A	http://www.imdb.com/title/tt0022100/
46		97.00001307	Metropolis (German Silent)	1926	Fantasy	N/A	http://www.imdb.com/title/tt0017136/
47		97.00001285	Rashomon (Japanese)	1950	Crime Drama	N/A	http://www.imdb.com/title/tt0042876/
48	32	97.0000072	The General (Silent)	1927	Comedy	N/A	http://www.imdb.com/title/tt0017925/
49		97.00000057	Olympia (German)	1936	Documentary	N/A	http://www.imdb.com/title/tt0030522/
50	33	97.00000007	Ten from Your Show of Shows	1973	Comedy	G	http://www.imdb.com/title/tt0069663/
51	34	96.89201687	On the Waterfront	1954	Drama	N/A	http://www.imdb.com/title/tt0047296/
52		96.87806924	2001: A Space Odyssey (British)	1968	Science Fiction	G	http://www.imdb.com/title/tt0062622/
53	35	96.86902334	Annie Hall	1977	Comedy	PG	http://us.imdb.com/title/tt0075686/
54	36	96.86701344	High Noon	1952	Western	N/A	http://us.imdb.com/title/tt0044706/
55	37	96.86500858	It Happened One Night	1934	Comedy	N/A	http://us.imdb.com/title/tt0025316/
56	38	96.81501069	Duck Soup	1933	Comedy	N/A	http://www.imdb.com/title/tt0023969/
57	39	96.80001265	Touch of Evil	1958	Crime Drama	PG-13	http://us.imdb.com/title/tt0052311/
58	40	96.80001081	The Big Sleep	1946	Mystery	N/A	http://www.imdb.com/title/tt0038355/
59		96.80001072	The Seventh Seal (Swedish)	1957	Fantasy	N/A	http://www.imdb.com/title/tt0050976/
60		96.80000811	The Bicycle Thief (Italian)	1947	Drama	N/A	http://us.imdb.com/title/tt0040522/
61		96.80000587	Wild Strawberries (Swedish)	1957	Drama	N/A	http://us.imdb.com/title/tt0050986/
62		96.80000476	Ikiru (Japanese)	1952	Western	N/A	http://us.imdb.com/title/tt0044741/
63		96.80000394	The Passion of Joan of Arc (French Silent)	1928	Drama	N/A	http://www.imdb.com/title/tt0019254/
64	41	96.80000202	Sherlock, Jr. (Silent)	1924	Fantasy	N/A	http://www.imdb.com/title/tt0015324/
65	42	96.80000175	Greed (Silent)	1924	Drama	N/A	http://www.imdb.com/title/tt0015881/
66		96.8000014	The Life and Death of Colonel Blimp (British)	1943	Drama	N/A	http://www.imdb.com/title/tt0036112/
67	43	96.80000108	The Crowd (Silent)	1928	Drama	N/A	http://www.imdb.com/title/tt0018806/
68		96.80000065	Shame (Swedish)	1968	Drama	R	http://www.imdb.com/title/tt0063611/
69		96.80000062	Die Nibelungen: Siegfried (German Silent)	1924	Fantasy	N/A	http://www.imdb.com/title/tt0015175/
70	44	96.80000037	The Kid Brother (Silent)	1927	Comedy	N/A	http://www.imdb.com/title/tt0018051/
71		96.80000026	La Traviata (Italian)	1982	Opera	G	http://www.imdb.com/title/tt0084821/
72	45	96.80000018	Counsellor-at-Law	1933	Drama	N/A	http://www.imdb.com/title/tt0023911/
73	46	96.70201153	Strangers on a Train	1951	Suspense	PG	http://us.imdb.com/title/tt0044079/
74		96.70200295	Brief Encounter (British)	1945	Drama	N/A	http://www.imdb.com/title/tt0037558/
75	47	96.69405473	The Wizard of Oz	1939	Musical	G	http://www.imdb.com/title/tt0032138/
76	48	96.69302979	It Happened One Night	1967	Comedy-Drama	R	http://us.imdb.com/title/tt0061722/
77	49	96.67900848	The Grapes of Wrath	1940	Drama	N/A	http://www.imdb.com/title/tt0032551/
78	50	96.65205114	Jaws	1975	Adventure	PG	http://www.imdb.com/title/tt0073195/
79	51	96.65002181	Butch Cassidy and the Sundance Kid	1969	Western	PG	http://us.imdb.com/title/tt0064115/
80	52	96.64600748	All Quiet on the Western Front	1930	War Drama	N/A	http://www.imdb.com/title/tt0020629/
81	53	96.62600698	The Gold Rush (Silent)	1925	Comedy	N/A	http://www.imdb.com/title/tt0015864/
